,2018-04-12,2018-04-11,2018-04-10,2018-04-09,2018-04-04,2018-04-03,2018-04-02,2018-03-30,2018-03-29,2018-03-28,2018-03-27,2018-03-26,2018-03-23,2018-03-22,2018-03-21,2018-03-20,2018-03-19,2018-03-16,2018-03-15,2018-03-14
600808.XSHG,27337418210.0,27722452270.0,27953472705.0,26952384151.0,26721363715.0,26875377339.0,27337418210.0,27568438646.0,27799459081.0,26798370527.0,27183404587.0,26721363715.0,26952384151.0,29570615754.0,29801636190.0,30109663437.0,29801636190.0,30802724744.0,31264765615.0,31418779239.0
000333.XSHE,341513250913.0,348821515971.0,347438871230.0,337760358046.0,349019036648.0,345792865586.0,347899752810.0,359026750960.0,363622229939.0,349287755052.0,359085171374.0,363424966523.0,369803150303.0,374142945452.0,383217062583.0,390187036611.0,391699389466.0,392488443129.0,403798212306.0,397157010638.0
002158.XSHE,6115294337.0,6221370561.0,6051648602.0,6014521923.0,5961483811.0,6178940071.0,6163028638.0,6332750597.0,6131205770.0,5956180000.0,5855407587.0,5733419929.0,5563697970.0,6184243883.0,6200155316.0,6396396331.0,6391092520.0,6327446785.0,6348662030.0,6364573464.0
300054.XSHE,9321855219.0,9350685699.0,9369906020.0,10407803302.0,10282871221.0,10532735382.0,10571176022.0,10109888341.0,9504448260.0,9398736500.0,9638990500.0,9225753619.0,8899008179.0,9715871780.0,10196379781.0,10455854102.0,10619226822.0,10503904902.0,10878701143.0,10676887782.0
601811.XSHG,15583411830.0,15817841620.0,15250274760.0,15065198610.0,15250274760.0,15423012500.0,15780826390.0,15953564130.0,15928887310.0,15324305220.0,15324305220.0,15114552250.0,14695046310.0,15904210490.0,15385997270.0,15842518440.0,15188582710.0,15065198610.0,15028183380.0,15571073420.0
002337.XSHE,2937192593.0,2901875648.0,2819469443.0,2795924813.0,2831241758.0,2843014073.0,2884217175.0,2890103333.0,2907761805.0,2884217175.0,2919534120.0,2866558703.0,2819469443.0,3043143428.0,3013712640.0,3043143428.0,3049029585.0,3007826483.0,3037257270.0,3037257270.0
002751.XSHE,5505327829.0,5612002252.0,5605818227.0,5625916307.0,5717130669.0,5786700945.0,5870185276.0,5751142804.0,5618186276.0,5536247952.0,5635192344.0,5485229749.0,5588812160.0,5712492650.0,5553254019.0,5608910240.0,5491413774.0,5452763621.0,5403291424.0,5550162007.0
002084.XSHE,3301679935.0,3119378588.0,3078867178.0,3058611473.0,3063675399.0,3083931105.0,3154826072.0,3134570367.0,3124442515.0,3124442515.0,3114314662.0,3013036137.0,3043419694.0,3301679935.0,3245976745.0,3210529262.0,3215593188.0,3215593188.0,3245976745.0,3402958460.0
002360.XSHE,2540916774.0,2560492404.0,2533086522.0,2529171396.0,2548747026.0,2583983160.0,2654455428.0,2689691562.0,2650540302.0,2642710050.0,2642710050.0,2587898286.0,2627049546.0,2576152908.0,2556577278.0,2587898286.0,2556577278.0,2521341144.0,2501765514.0,2544831900.0
300547.XSHE,3566345858.0,3674398235.0,3548440036.0,3524359792.0,3535473751.0,3470024883.0,3506453970.0,3491635358.0,3402106247.0,3336039936.0,3339127147.0,3239101519.0,3026701419.0,3310724808.0,3253920131.0,3269356184.0,3318134114.0,3297141081.0,3315664346.0,3488548148.0
000693.XSHE,3152253153.0,3320735650.0,3494653065.0,3679440319.0,3875097411.0,4076189423.0,4288151272.0,4510982961.0,4750119407.0,5000125692.0,5261001815.0,5538182695.0,5831668334.0,6136023811.0,6456684045.0,6793649038.0,6793649038.0,6793649038.0,6793649038.0,6793649038.0
002232.XSHE,4297929747.0,4367382984.0,4351041046.0,4351041046.0,3954749044.0,4085484550.0,4208049087.0,4236647478.0,4146766818.0,4032373251.0,4052800674.0,3836269992.0,3672850610.0,4077313581.0,4003774859.0,4252989417.0,4289758778.0,4257074901.0,4265245870.0,4477691067.0
000826.XSHE,30318051814.0,30399799173.0,29561888742.0,29756038720.0,29602762421.0,29531233482.0,29469922963.0,29071404587.0,28621794112.0,28448080974.0,28335678355.0,27804320521.0,28100654698.0,28805725670.0,29122496687.0,29633417681.0,29929751858.0,29766257140.0,30154557095.0,29929751858.0
300453.XSHE,2376038400.0,2312550400.0,2239539200.0,2245888000.0,2209382400.0,2276044800.0,2222080000.0,2247475200.0,2157004800.0,2114150400.0,2091929600.0,1984000000.0,1945907200.0,2161766400.0,2166528000.0,2187161600.0,2117324800.0,2115737600.0,2064947200.0,2137958400.0
002153.XSHE,29123332957.0,29624723671.0,29720734659.0,30136782272.0,28024540541.0,29411365920.0,30083442835.0,28621942243.0,27096434326.0,27096434326.0,26243003324.0,25293561334.0,25016196258.0,27789847016.0,27875190116.0,28856635769.0,29294019157.0,29507376908.0,29411365920.0,29827413534.0
600403.XSHG,11117277669.0,11834521390.0,11834521390.0,11451991406.0,11093369545.0,11045553297.0,11045553297.0,11093369545.0,11045553297.0,10878196429.0,10854288305.0,10423942073.0,10495666445.0,10997737049.0,11021645173.0,10997737049.0,10902104553.0,10734747685.0,10758655809.0,10854288305.0
