order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000531.XSHE,SHYA,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1994-01-06,100.0,Utilities,公用事业,Normal,Active,穗恒运A,CS
000532.XSHE,HJZB,MainBoard,0000-00-00,XSHE,S90,综合,1994-01-03,100.0,Industrials,工业,Normal,Active,华金资本,CS
000533.XSHE,WJL,MainBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,1994-01-03,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,万家乐,CS
000534.XSHE,WZGF,MainBoard,0000-00-00,XSHE,K70,房地产业,1994-01-10,100.0,Financials,金融,Normal,Active,万泽股份,CS
000536.XSHE,HYKJ,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1993-11-26,100.0,InformationTechnology,信息技术,Normal,Active,华映科技,CS
000537.XSHE,GYFZ,MainBoard,0000-00-00,XSHE,K70,房地产业,1993-12-10,100.0,Financials,金融,Normal,Active,广宇发展,CS
000538.XSHE,YNBY,MainBoard,0000-00-00,XSHE,C27,医药制造业,1993-12-15,100.0,HealthCare,医疗保健,Normal,Active,云南白药,CS
000539.XSHE,YDLA,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1993-11-26,100.0,Utilities,公用事业,Normal,Active,粤电力A,CS
000540.XSHE,ZTJR,MainBoard,0000-00-00,XSHE,K70,房地产业,1994-02-02,100.0,Financials,金融,Normal,Active,中天金融,CS
000541.XSHE,FSZM,MainBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,1993-11-23,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,佛山照明,CS
000543.XSHE,WNDL,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1993-12-20,100.0,Utilities,公用事业,Normal,Active,皖能电力,CS
000544.XSHE,ZYHB,MainBoard,0000-00-00,XSHE,D46,水的生产和供应业,1993-12-08,100.0,Utilities,公用事业,Normal,Active,中原环保,CS
000545.XSHE,JPTY,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1993-12-15,100.0,Materials,原材料,Normal,Active,金浦钛业,CS
000546.XSHE,JYGF,MainBoard,0000-00-00,XSHE,C30,非金属矿物制品业,1993-12-15,100.0,Materials,原材料,Normal,Active,金圆股份,CS
000547.XSHE,HTFZ,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1993-11-30,100.0,InformationTechnology,信息技术,Normal,Active,航天发展,CS
000548.XSHE,HNTZ,MainBoard,0000-00-00,XSHE,G54,道路运输业,1993-12-20,100.0,Industrials,工业,Normal,Active,湖南投资,CS
000550.XSHE,JLQC,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1993-12-01,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,江铃汽车,CS
000551.XSHE,CYKJ,MainBoard,0000-00-00,XSHE,S90,综合,1994-01-06,100.0,Industrials,工业,Normal,Active,创元科技,CS
000552.XSHE,JYMD,MainBoard,0000-00-00,XSHE,B06,煤炭开采和洗选业,1994-01-06,100.0,Energy,能源,Normal,Active,靖远煤电,CS
