datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost
2012-06-11 14:50:00,000926.XSHE,福星股份,SELL,100,10.19,6.02
2012-06-12 14:50:00,000926.XSHE,福星股份,SELL,100,10.42,6.04
2012-06-13 14:50:00,600270.XSHG,外运发展,BUY,100,7.49,5.00
2012-06-13 14:50:00,000089.XSHE,深圳机场,BUY,1700,4.27,5.00
2012-06-14 14:50:00,600270.XSHG,外运发展,BUY,100,7.27,5.00
2012-06-14 14:50:00,000089.XSHE,深圳机场,BUY,700,4.26,5.00
2012-06-18 14:50:00,000926.XSHE,福星股份,BUY,100,9.87,5.00
2012-06-20 14:50:00,600270.XSHG,外运发展,SELL,100,7.36,5.74
2012-06-20 14:50:00,000926.XSHE,福星股份,BUY,100,9.58,5.00
2012-06-28 14:50:00,600987.XSHG,航民股份,BUY,900,5.74,5.00
2012-06-28 14:50:00,600270.XSHG,外运发展,SELL,1200,7.07,13.49
2012-06-28 14:50:00,000926.XSHE,福星股份,SELL,900,9.25,13.33
2012-06-28 14:50:00,000089.XSHE,深圳机场,SELL,2200,4.05,13.91
2012-06-29 14:50:00,600987.XSHG,航民股份,BUY,600,5.78,5.00
2012-07-02 14:50:00,600987.XSHG,航民股份,BUY,2100,5.78,5.00
2012-07-02 14:50:00,600270.XSHG,外运发展,SELL,100,7.21,5.72
2012-07-03 14:50:00,600987.XSHG,航民股份,SELL,200,5.86,6.17
2012-07-03 14:50:00,000926.XSHE,福星股份,BUY,900,9.42,5.00
2012-07-03 14:50:00,600270.XSHG,外运发展,BUY,500,7.34,5.00
2012-07-03 14:50:00,000089.XSHE,深圳机场,BUY,100,4.11,5.00
2012-07-04 14:50:00,600987.XSHG,航民股份,SELL,500,5.85,7.93
2012-07-04 14:50:00,600270.XSHG,外运发展,BUY,400,7.37,5.00
2012-07-05 14:50:00,600987.XSHG,航民股份,SELL,200,5.73,6.15
2012-07-05 14:50:00,000926.XSHE,福星股份,BUY,100,8.94,5.00
2012-07-06 14:50:00,000926.XSHE,福星股份,SELL,1000,9.10,14.10
2012-07-06 14:50:00,600270.XSHG,外运发展,SELL,700,7.17,10.02
2012-07-09 14:50:00,600987.XSHG,航民股份,SELL,2700,5.68,20.34
2012-07-09 14:50:00,000926.XSHE,福星股份,BUY,1000,8.88,5.00
2012-07-09 14:50:00,600270.XSHG,外运发展,BUY,900,7.14,5.00
2012-07-10 14:50:00,600987.XSHG,航民股份,BUY,600,5.80,5.00
2012-07-10 14:50:00,601222.XSHG,林洋能源,BUY,100,8.87,5.00
2012-07-10 14:50:00,000926.XSHE,福星股份,SELL,1000,8.37,13.37
2012-07-10 14:50:00,600270.XSHG,外运发展,SELL,1900,7.08,18.46
2012-07-11 14:50:00,601222.XSHG,林洋能源,BUY,2800,8.90,5.98
2012-07-11 14:50:00,000926.XSHE,福星股份,BUY,100,8.41,5.00
2012-07-11 14:50:00,000089.XSHE,深圳机场,SELL,300,4.00,6.20
2012-07-12 14:50:00,600987.XSHG,航民股份,SELL,600,5.80,8.48
2012-07-12 14:50:00,600270.XSHG,外运发展,BUY,700,7.19,5.00
2012-07-13 14:50:00,601222.XSHG,林洋能源,SELL,500,9.33,9.67
2012-07-13 14:50:00,000926.XSHE,福星股份,BUY,1000,8.53,5.00
2012-07-13 14:50:00,600270.XSHG,外运发展,BUY,200,7.00,5.00
2012-07-16 14:50:00,601222.XSHG,林洋能源,SELL,200,8.97,6.79
2012-07-16 14:50:00,600987.XSHG,航民股份,BUY,400,5.42,5.00
2012-07-16 14:50:00,000926.XSHE,福星股份,SELL,1000,8.16,13.16
2012-07-16 14:50:00,600270.XSHG,外运发展,BUY,100,6.25,5.00
2012-07-16 14:50:00,000089.XSHE,深圳机场,SELL,100,3.96,5.40
2012-07-17 14:50:00,601222.XSHG,林洋能源,SELL,2200,9.98,27.23
2012-07-17 14:50:00,600987.XSHG,航民股份,BUY,1000,5.44,5.00
2012-07-17 14:50:00,600270.XSHG,外运发展,BUY,100,6.19,5.00
2012-07-18 14:50:00,600987.XSHG,航民股份,BUY,3300,5.45,5.00
2012-07-20 14:50:00,000926.XSHE,福星股份,BUY,100,8.00,5.00
2012-07-30 14:50:00,000926.XSHE,福星股份,BUY,100,7.60,5.00
2012-07-30 14:50:00,000089.XSHE,深圳机场,SELL,100,3.96,5.40
